Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
LC385005,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15228,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B TB5_CA-14-0525_6 viral cRNA, complete genome"
LC385006,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15228,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B TB5_CA-16-0946_6 viral cRNA, complete genome"
LC385007,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15228,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B TB6_CA-15-0412_7 viral cRNA, complete genome"
LC385008,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),15229,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B TB5_CA-16-0893_7 viral cRNA, complete genome"
MF496232,,Measles morbillivirus,Morbillivirus,Paramyxoviridae,ssRNA(-),281,GenBank,,,Macaca fascicularis,,,"Measles virus genotype B3 isolate Philippines/2015[B3] RNA-directed RNA polymerase gene, partial cds"
MG431944,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,"liver, abdominal cavity",,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-103A-K nucleoprotein (NP) gene, partial cds"
MG431945,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,"spleen, abdominal cavity",,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-103A-K nucleoprotein (NP) gene, partial cds"
MG431946,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F nucleoprotein (NP) gene, partial cds"
MG431947,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F nucleoprotein (NP) gene, partial cds"
MG431948,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F nucleoprotein (NP) gene, partial cds"
MG431949,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F nucleoprotein (NP) gene, partial cds"
MG431950,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ2-10B-G nucleoprotein (NP) gene, partial cds"
MG431951,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpL7-7D-A nucleoprotein (NP) gene, partial cds"
MG431952,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),337,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-130A-K nucleoprotein (NP) gene, partial cds"
MG431953,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,"liver, abdominal cavity",,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-103A-K RNA-dependent RNA polymerase (L) gene, partial cds"
MG431954,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,"spleen, abdominal cavity",,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-103A-K RNA-dependent RNA polymerase (L) gene, partial cds"
MG431955,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F RNA-dependent RNA polymerase (L) gene, partial cds"
MG431956,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F RNA-dependent RNA polymerase (L) gene, partial cds"
MG431957,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F RNA-dependent RNA polymerase (L) gene, partial cds"
MG431958,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ5-2B-F RNA-dependent RNA polymerase (L) gene, partial cds"
MG431959,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ2-10B-G RNA-dependent RNA polymerase (L) gene, partial cds"
MG431960,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpL7-7D-A RNA-dependent RNA polymerase (L) gene, partial cds"
MG431961,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),618,GenBank,,,Macaca fascicularis,,,"Reston ebolavirus isolate Reston ebolavirus/Reston virus/M.fascicularis/Philippines/2015/DrpZ1-130A-K RNA-dependent RNA polymerase (L) gene, partial cds"
LC360455,,Hepatovirus A,Hepatovirus,Picornaviridae,ssRNA(+),341,GenBank,,,,,,"Hepatovirus A D6-15 gene for polyprotein, VP2 region, partial cds"
MF540570,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),18889,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate DrpZ52BF, complete genome"
MF540571,,Reston ebolavirus,Ebolavirus,Filoviridae,ssRNA(-),18890,GenBank,,,Macaca fascicularis,lymph,,"Reston ebolavirus isolate DrpZ210BG, complete genome"
LC068916,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R4A.PHL/2013/TRa-485"
LC068917,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-509"
LC068918,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/CAR.PHL/2013/TRa-510"
LC068919,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-533"
LC068920,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-534"
LC068921,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-535"
LC068922,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-536"
LC068923,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-537"
LC068924,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-538"
LC068925,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-540"
LC068926,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-541"
LC068927,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-542"
LC068928,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-543"
LC068929,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Felis catus,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-544"
LC068930,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-545"
LC068931,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-547"
LC068932,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-548"
LC068933,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-549"
LC068934,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-550"
LC068935,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-551"
LC068936,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-552"
LC068937,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-554"
LC068938,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-556"
LC068939,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-557"
LC068940,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R1.PHL/2013/TRa-569"
LC068941,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/CAR.PHL/2013/TRa-571"
LC068942,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R1.PHL/2013/TRa-572"
LC068943,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R1.PHL/2013/TRa-573"
LC068944,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-581"
LC068945,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-582"
LC068946,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-583"
LC068947,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-584"
LC068948,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-586"
LC068949,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-587"
LC068950,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-588"
LC068951,,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,ssRNA(-),1575,GenBank,,,Canis lupus familiaris,brain,,"Rabies lyssavirus G gene for glycoprotein, complete cds, strain: RV/R3.PHL/2013/TRa-589"
MF465901,,Enterovirus A,Enterovirus,Picornaviridae,ssRNA(+),877,GenBank,,,Homo sapiens,,,"Enterovirus A71 strain 217_PHL_2010 structural protein VP1 gene, partial cds"
LC384327,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),956,GenBank,,,Sus scrofa,,,"Porcine epidemic diarrhea virus K3 N gene, nucleocapsid protein, partial sequence"
LC384328,,Porcine epidemic diarrhea virus,Alphacoronavirus,Coronaviridae,ssRNA(+),950,GenBank,,,Sus scrofa,,,"Porcine epidemic diarrhea virus K4 N gene, nucleocapsid protein, partial sequence"
LC311360,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0368"
LC311361,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0741"
LC311362,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0377"
LC311363,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0711"
LC311364,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-14-0284"
LC311365,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-15-0377"
LC311366,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0411"
LC311367,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0756"
LC311368,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0754"
LC311369,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0743"
LC311370,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0752"
LC311371,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0739"
LC311372,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0719"
LC311373,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0714"
LC311374,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-15-0707"
LC311375,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-15-0450"
LC311376,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-15-0425"
LC311377,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-15-0423"
LC311378,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-15-0400"
LC311379,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0435"
LC311380,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0364"
LC311381,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB5_CA-14-0351"
LC311382,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB6_CA-14-0307"
LC311383,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB6_CA-14-0298"
LC311384,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-14-0484"
LC311385,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-14-0470"
LC311386,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-14-0462"
LC311387,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB9_KW-14-0455"
LC311388,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-14-0289"
LC311389,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-14-0283"
LC311390,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-14-0282"
LC311391,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TB8_KW-14-0268"
LC311392,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0399"
LC311393,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0398"
LC311394,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0349"
LC311395,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0213"
LC311396,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0212"
LC311397,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-13-0200"
LC311398,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TBp-12-0058"
LC311399,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-11-0632"
LC311400,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-11-0611"
LC311401,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-11-0555"
LC311402,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-11-0554"
LC311403,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-11-0375"
LC311404,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-10-0036"
LC311405,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-10-0011"
LC311406,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-10-0009"
LC311407,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-09-0311"
LC311408,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-08-0454"
LC311409,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),933,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B G gene for glycoprotein, complete cds, strain: TTa-08-0412"
LC311524,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0368"
LC311525,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0741"
LC311526,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-14-0377"
LC311527,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB5_CA-15-0711"
LC311528,,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,GenBank,,,Homo sapiens,,,"Human respiratory syncytial virus B F gene for fusion protein, complete cds, strain: TB8_KW-14-0284"
